Motion Profile: Recording - 4425 2018.03.83,,,,,,,,,
Left Output,Right Output,,Left Position,Right Position,,Left Velocity,Right Velocity,,
,,,,,,,,,
0,0,,0,0,,0,0,,
0,0,,0,0,,0,0,,
0,0,,0,0,,0,0,,
0,-0.090909091,,0,0,,0,0,,
0,-0.090909091,,0,0,,0,0,,
0,-0.090909091,,2.79E-05,2.79E-05,,6.64E-05,0,,
0,-0.090909091,,2.79E-05,2.79E-05,,6.64E-05,0,,
0,-0.090909091,,5.57E-05,2.79E-05,,1.33E-04,0,,
0,-0.090909091,,8.36E-05,2.79E-05,,1.99E-04,0,,
0,-0.090909091,,1.39E-04,0,,0.004119373,0,,
0,-0.090909091,,1.39E-04,2.79E-05,,0.004119373,0,,
0,-0.122189638,,1.95E-04,0,,0.007227806,0,,
0,-0.122189638,,3.06E-04,0,,0.008815069,0,,
0,-0.122189638,,3.34E-04,0,,0.009117061,0,,
0,-0.122189638,,3.90E-04,0,,0.009580241,0,,
0,-0.122189638,,4.18E-04,0,,0.009708315,0,,
0.066471163,-0.122189638,,4.73E-04,2.79E-05,,0.010511665,0,,
0.066471163,-0.122189638,,5.57E-04,2.79E-05,,0.012930409,0,,
0.066471163,-0.216031281,,5.85E-04,2.79E-05,,0.013702758,0,,
0.066471163,-0.216031281,,6.41E-04,2.79E-05,,0.011978044,0,,
0.066471163,-0.216031281,,8.08E-04,0,,0.016748354,0,,
0.066471163,-0.216031281,,8.63E-04,0,,0.017758365,0,,
0.060606061,-0.216031281,,0.00108615,0,,0.049170198,0,,
0.060606061,-0.216031281,,0.0012811,2.79E-05,,0.047580404,0,,
0.060606061,-0.275659824,,0.0013925,2.79E-05,,0.023042237,0,,
0.060606061,-0.275659824,,0.0015596,2.79E-05,,0.025245601,0,,
0.060606061,-0.275659824,,0.00169885,2.79E-05,,0.027501759,0,,
0.060606061,-0.275659824,,0.00181025,0,,0.026412813,0,,
0.039100684,-0.275659824,,0.00186595,0,,0.028723185,0,,
0.039100684,-0.275659824,,0.00203305,2.79E-05,,0.03218165,0,,
0.039100684,-0.332355816,,0.0021723,0,,0.030756488,0,,
0.039100684,-0.332355816,,0.00236725,0,,0.031141675,0,,
